Year;Rank;School;Location;Median_VCE_Score
2012;579;VSL Altona North-Footscray-Sunshine;Thornbury;N/A
2012;580;VSL Box Hill-Blackburn-Doncaster;Thornbury;N/A
2012;581;VSL Collingwood-Bentleigh-McKinnon;Thornbury;N/A
2012;582;VSL Dandenong-Hampton Park-Beaconhills;Thornbury;N/A
2012;583;VSL Distance Education;Thornbury;N/A
2012;584;VSL Gisborne-Horsham-Cobram-Warrnambool-Wodonga-Shepparton;Thornbury;N/A
2012;585;VSL Glen Waverley-Carwatha;Thornbury;N/A
2012;586;VSL Keilor Downs-Brimbank-Mildura-Taylors Lakes;Thornbury;N/A
2012;587;VSL North Geelong-Matthew Flinders-Galvin Park-Ballarat;Thornbury;N/A
2012;588;VSL Thomastown-Lalor-Roxburgh Park-Hume Central;Thornbury;N/A
2012;589;VSL University-Brunswick-Mill Park;Thornbury;N/A
2012;590;VSL Westall-Brentwood-Haileybury;Thornbury;N/A
2012;591;Wallan Secondary College;Wallan;24
2012;592;Wanganui Park Secondary College;Shepparton;29
2012;593;Wangaratta High School;Wangaratta;28
2012;594;Wantirna College;Wantirna;29
2012;595;Warracknabeal Secondary College;Warracknabeal;27
2012;596;Warragul Regional College;Warragul;27
2012;597;Warrandyte High School;Warrandyte;28
2012;598;Warrnambool College;Warrnambool;28
2012;599;Waverley Christian College Wantirna South;Wantirna South;33
2012;600;Wedderburn College;Wedderburn;31
2012;601;Wellington Secondary College;Mulgrave;29
2012;602;Werribee Secondary College;Werribee;32
2012;603;Werrimull P-12 School;Werrimull;30
2012;604;Wesley College Glen Waverley;Glen Waverley;32
2012;605;Wesley College St Kilda Rd;Melbourne;33
2012;606;Westall Secondary College;Clayton South;28
2012;607;Westbourne Grammar School;Truganina;34
2012;608;Western Heights College;Hamlyn Heights;23
2012;609;Western Port Secondary College;Hastings;25
2012;610;Western Thrace Turkish School;Windsor;N/A
2012;611;Wheelers Hill Secondary College;Wheelers Hill;27
2012;612;Whitefriars College;Donvale;32
2012;613;Whittlesea Secondary College;Whittlesea;22
2012;614;William Angliss Institute of TAFE;Melbourne;0
2012;615;William Ruthven Secondary College;Reservoir;27
2012;616;Williamstown High School;Williamstown;31
2012;617;Wodonga Institute of TAFE;West Wodonga;0
2012;618;Wodonga Senior Secondary College;Wodonga;26
2012;619;Wonthaggi Secondary College;Wonthaggi;29
2012;620;Woodleigh School;Langwarrin South;33
2012;621;Wycheproof P-12 College;Wycheproof;34
2012;622;Wyndham Central Secondary College;Werribee;26
2012;623;Wyndham Community and Education Centre;Werribee;0
2012;624;Xavier College;Kew;34
2012;625;Xin Jin Shan Chinese Language and Culture School;Mount Waverley;N/A
2012;626;Yarra Hills Secondary College Mooroolbark;Mooroolbark;26
2012;627;Yarra Valley Grammar School;Ringwood;33
2012;628;Yarram Secondary College;Yarram;28
2012;629;Yarrawonga College P-12;Yarrawonga;28
2012;630;Yea High School;Yea;28
2012;631;Yeshivah College;St Kilda East;38
2012;632;Zenon Education Centre;Caulfield South;N/A
2013;1;Academy of Mary Immaculate;Fitzroy;32
2013;2;Adass Israel School Elsternwick;Elsternwick;0
2013;3;Advanced Career Training;Geelong;0
2013;4;Aitken College;Greenvale;31
2013;5;Al Kamal Arabic School;Dandenong North;N/A
2013;6;Al-Taqwa College Islamic Schools of Vic;Truganina;25
2013;7;Albury Wodonga Community College;Wodonga;0
2013;8;Alexandra Secondary College;Alexandra;26
2013;9;Alia College;Hawthorn East;24
2013;10;Alkira Secondary College;Cranbourne North;31
2013;11;Alphington Grammar School;Alphington;33
2013;12;Antonine College Senior Campus;Pascoe Vale South;30
